origine,destination,means,departureTime,duration,financial cost,co2,confort,nbRepetitions(optional),frequence(optional)
a      ,b          ,bike  ,600,20,1,30,1,192,5
b      ,a          ,bike  ,600,20,1,30,1,192,5
b      ,c          ,bike  ,600,20,1,30,1,192,5
c      ,b          ,bike  ,600,20,1,30,1,192,5
b      ,d          ,bike  ,600,30,1,30,1,192,5
d      ,b          ,bike  ,600,30,1,30,1,192,5
c      ,d          ,bike  ,600,20,1,30,1,192,5
d      ,c          ,bike  ,600,20,1,30,1,192,5
c      ,e          ,bike  ,600,30,1,30,1,192,5
e      ,c          ,bike  ,600,30,1,30,1,192,5
d      ,e          ,bike  ,600,40,1,30,1,192,5
e      ,d          ,bike  ,600,40,1,30,1,192,5
e      ,f          ,bike  ,600,30,1,30,1,192,5
f      ,e          ,bike  ,600,30,1,30,1,192,5
